country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.23M,2.15M,608k,225k,295k,236k,441k,417k,111k,21k,695k,32.8k,1.75M,1.18M,643k,52k,4900,2440,9560,65.4k,1.03M,213k,1.3M,375k,269k,251k,57.7k,951k,217k,61.2k,174k,388k,55.2k,16.7k,49.9k,243k,54.6k,87.7k,33.1k,12.8k,145k,142k,135k
Angola,,,,,,,,,,150k,0,20k,5000,25k,20k,83.8k,52.4k,25.2k,26.8k,5930,5570,1810,5050,70.8k,4440,2640,30.6k,116k,6870,204k,8030,8830,168k,59.7k,40.4k,38k,36.3k,15.8k,1130,932,26.1k,81.1k,23.3k,41.3k,35.9k,3030,18k,51.7k,34.1k,85.8k,41.2k,30.8k,108k,103k,14.2k,16.1k,21.1k,14.8k,30.4k,6140,6130,109k,8700,530,3920,1950,2960,1040,1800,1650,3500,1580
Albania,,,,,,,,,,,,,,3.11M,4760,0,600,140,170,20,3920,1910,210,1710,0,380,2000,20,370,71,1,35,35,34,11,1500,39,229,9,1460,1720,813,392,274,783,20,403,28,933,3330,1980,4140,836,1120,1500,1070,622,159,472,1170,376,546,3580,5380,27.3k,17.7k,3890,3650,549,883,9030,2600
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4k,7,2,7,10,5,5,5,5,0,0,1,1,0,5,5,0,5,0,5,0,6
UAE,,,,,,,,,,,,,,,,,,5.48M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,22,18,27,36,28,224,45,52,170,9,48,103,468,27,42,69,81,97,105,26,13,11
Argentina,,,,,,,,,,,,,,,,,,,104,0,0,0,0,0,0,0,0,0,0,38,0,981,977,0,9,1,5,1,57,229,136,85,14,370,137,112,61,17,445,1580,57,15,193,613,154,71,217,103,420,121,77,84,24,39,67,7,134,128,430,257,610,341
Armenia,,,,,,,,,,,,,,2070,170,0,0,200,0,0,3870,570,3500,0,0,0,440,20,280,367,0,400,400,0,0,195,320,92,300,0,0,195k,5120,1720,398,1790,458,10.5k,81,182k,2280,5620,788,670,851,2010,894,677,1990,1590,1360,318,1470,768,1580,4100,1890,956,2680,2880,2360,3430
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7k,5,35,19,1,6,6,2,26,18,8,4,16,2,10,0,44,50,8,28,23,1,56
Australia,25k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,6,1,23,7,23,11,14,16,5,9,20,5,6,4,5,7,43,38,5,38
Austria,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,4,1,9,16,14,1,50,3,30,13,16,22,9,0,5,0,10,5,10,0,0,31,2,6,10,10,3
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300k,28k,28.9k,98.6k,35.6k,1140,94.7k,18.5k,21.6k,15.1k,9290,7320,3350,16.7k,109k,111k,372,1210,582,472,628,3310,478,20,3300,2220,130,706,88k,63.2k,2240
Burundi,,,,,,,,,,,52.4k,0,0,0,3000,2750,250,0,0,0,0,129k,2900,11k,21.1k,10.4k,1230,5370,3500,18.1k,13.2k,6680,280,6360,16.9k,10.8k,23.7k,3240,1290,178,32.3k,39.8k,687k,482k,39.1k,78.1k,90.4k,16.6k,24.9k,44.3k,13.8k,24.1k,42.3k,46.1k,46.6k,44.9k,19.3k,94.5k,189k,7520,19.2k,24.5k,721,4800,228k,113k,67.3k,58.5k,7140,10.9k,47.4k,4440
Belgium,16.2k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,1,25,11,16,6,7,57,17,35,22,5,4,2,16,3,10,6,39,25,40,10,49,28,5
