,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp_Total,Att_Total,Cmp%_Total,TotDist,PrgDist,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Touches,T_Def Pen,T_Def 3rd,T_Mid 3rd,T_Att 3rd,T_Att Pen,T_Live,Drib_Att,Drib_Succ,Drib_Succ%,Drib_Tkld,Drib_Tkld%,Carries,Carry_TotDist,Carry_PrgDist,Carry_PrgNum,Carry_1/3,Carry_PA,Carry_Miscon,Carry_Dispos,Rec,Rec_Prg,D_Tkl,D_TklW,Tkl_Def 3rd,Tkl_Mid 3rd,Tkl_Att 3rd,Chal_Tkl,Chal_Att,Chal_Tkl%,Chal_Lost,Blocks,B_Sh,B_Pass,Int,Tkl+Int,Clr,Err
23,Simon Adingra,CIV,FW,Brighton,Premier League,21.0,2002.0,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,1.7,1.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,1159,36,187,364,627,153,1159,123,50,40.7,64,52.0,773,5063,2996,111,48,63,48,28,795,278,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0
24,Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20.0,2002.0,13.8,0,4,0,0.0,0.29,0.0,0.0,0.0,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,578,669,86.4,10635,4097,216,246,87.8,294,323,91.0,52,73,71.2,0,0.1,0.5,-0.1,3,38,1,0,34,11,0.8,8,0,0,0,1,2,0,0.0,0,0,0,0,0,0,811,94,374,397,46,10,811,5,4,80.0,1,20.0,554,3506,1609,10,12,0,12,5,511,4,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1
49,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19.0,2004.0,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,18.1,0,0,0,3.2,3.2,0.11,-1.2,-1.2,372,481,77.3,5109,1318,239,275,86.9,101,133,75.9,14,28,50.0,2,2.6,2.5,-0.6,21,20,24,6,45,57,3.4,34,2,13,2,5,1,3,0.18,2,0,1,0,0,0,745,12,89,271,403,70,745,128,57,44.5,59,46.1,491,3523,2006,68,47,27,49,36,551,160,36,21,11,16,9,10,20,50.0,10,10,2,8,13,49,13,0
90,Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19.0,2004.0,9.9,2,13,5,38.5,1.32,0.51,0.15,0.4,14.7,0,0,0,2.6,2.6,0.2,-0.6,-0.6,167,257,65.0,2726,899,86,121,71.1,64,98,65.3,12,24,50.0,1,0.9,0.7,0.1,12,17,6,2,30,20,2.02,18,0,0,1,0,1,1,0.1,1,0,0,0,0,0,405,18,97,177,146,24,405,43,16,37.2,25,58.1,259,1839,806,25,18,5,28,9,236,65,18,8,10,7,1,7,21,33.3,14,11,1,10,11,29,16,0
111,Ângelo,BRA,"FW,MF",Strasbourg,Ligue 1,18.0,2004.0,12.2,0,9,4,44.4,0.74,0.33,0.0,0.0,22.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,300,426,70.4,4918,1875,139,180,77.2,129,171,75.4,22,49,44.9,3,3.3,3.0,-0.3,26,32,25,9,59,54,4.45,43,2,5,1,2,1,6,0.49,5,0,0,0,1,0,593,7,76,261,282,27,593,56,30,53.6,23,41.1,464,4032,1883,50,47,6,44,24,411,109,24,11,9,7,8,11,31,35.5,20,18,0,18,9,33,2,0
123,Julian Araujo,MEX,DF,Las Palmas,La Liga,21.0,2001.0,16.2,1,7,2,28.6,0.43,0.12,0.14,0.5,20.5,0,0,0,0.7,0.7,0.1,0.3,0.3,680,831,81.8,11255,3943,328,367,89.4,297,352,84.4,43,75,57.3,0,1.2,0.9,-1.2,16,69,12,4,74,31,1.91,25,2,2,0,1,1,1,0.06,1,0,0,0,0,0,1012,78,306,535,178,14,1012,20,12,60.0,6,30.0,489,1908,926,23,16,3,29,2,557,47,41,22,29,7,5,23,33,69.7,10,23,16,7,10,51,52,1
196,Carlos Baleba,CMR,MF,Brighton,Premier League,19.0,2004.0,14.7,0,21,5,23.8,1.43,0.34,0.0,0.0,24.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8,713,775,92.0,10618,2185,402,429,93.7,267,278,96.0,24,30,80.0,0,0.3,0.3,-0.3,8,38,3,0,50,17,1.15,16,0,0,1,0,0,1,0.07,1,0,0,0,0,0,965,65,255,580,139,5,965,22,11,50.0,6,27.3,571,2903,1423,19,19,1,16,16,664,9,40,20,17,19,4,23,46,50.0,23,35,7,28,18,58,30,3
203,Mohamed Bamba,CIV,FW,Lorient,Ligue 1,21.0,2001.0,12.6,8,37,17,45.9,2.93,1.34,0.19,0.41,12.1,0,1,1,6.4,5.6,0.16,1.6,1.4,185,256,72.3,2456,373,96,129,74.4,69,88,78.4,3,4,75.0,3,2.1,1.2,0.9,14,8,10,0,16,32,2.53,24,0,3,2,2,1,3,0.24,3,0,0,0,0,0,405,9,32,195,187,76,404,29,11,37.9,17,58.6,278,1675,762,25,22,13,31,25,281,69,14,9,3,8,3,4,10,40.0,6,7,1,6,2,16,3,0
259,Alaa Bellaarouch,MAR,GK,Strasbourg,Ligue 1,21.0,2002.0,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,352,504,69.8,9261,5681,63,63,100.0,189,196,96.4,97,238,40.8,0,0.0,0.0,0.0,1,11,1,0,0,1,0.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,542,413,540,3,0,0,542,0,0,0.0,0,0.0,415,2305,1282,0,1,1,0,0,300,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,11,2
281,Lucas Beraldo,BRA,DF,Paris S-G,Ligue 1,19.0,2003.0,11.2,1,5,2,40.0,0.45,0.18,0.2,0.5,10.8,0,0,0,1.0,1.0,0.2,0.0,0.0,867,968,89.6,15514,5185,309,354,87.3,482,513,94.0,56,72,77.8,0,0.2,0.2,-0.2,4,65,2,0,44,14,1.25,13,1,0,0,0,0,1,0.09,1,0,0,0,0,0,1056,80,410,592,58,5,1056,4,3,75.0,1,25.0,832,4228,2168,7,22,0,2,2,777,2,22,14,14,8,0,10,25,40.0,15,15,6,9,20,42,25,0
